==========================================
Lines of Code Report (Diff-based)
==========================================
Author: Chun Wee
Since: 2026-03-16
Generated: Sun Apr  5 01:26:40 +08 2026
==========================================

==========================================
ACTUAL CODE CHANGES PER FILE (NO BLANKS/COMMENTS)
==========================================
Tracked extensions: .cpp .hpp .h .c

File                                                                        Added    Deleted        Net
TheStove/Core/Factory.cpp                                                      23         16          7
TheStove/Core/Factory.hpp                                                       2          1          1
TheStove/Core/FileDropHandler.cpp                                              19         20         -1
TheStove/Core/FileDropHandler.hpp                                               1          1          0
TheStove/Core/FilePaths.hpp                                                     1          1          0
TheStove/Core/FontSystem.cpp                                                   20         20          0
TheStove/Core/FontSystem.hpp                                                    3          3          0
TheStove/Core/Forces.cpp                                                        1          1          0
TheStove/Core/Forces.hpp                                                        2          2          0
TheStove/Core/GOC.cpp                                                          23         15          8
TheStove/Core/GOC.hpp                                                           6          6          0
TheStove/Core/GameBootstrap.hpp                                                 2          2          0
TheStove/Core/GameComponent.hpp                                                 2          2          0
TheStove/Core/GameObjectLogic.cpp                                               1          1          0
TheStove/Core/GameObjectLogic.hpp                                               1          1          0
TheStove/Core/GameStateManager.cpp                                             81         93        -12
TheStove/Core/GameStateManager.hpp                                             25         20          5
TheStove/Core/GridPathfinder.cpp                                                1          1          0
TheStove/Core/GridPathfinder.hpp                                                1          1          0
TheStove/Core/ISerializer.cpp                                                   3          3          0
TheStove/Core/ISerializer.hpp                                                   1          1          0
TheStove/Core/InputCommandHandler.cpp                                           8         10         -2
TheStove/Core/InputCommandHandler.hpp                                           2          2          0
TheStove/Core/InputControls.cpp                                                 1          1          0
TheStove/Core/InputControls.hpp                                                 2          2          0
TheStove/Core/InputManager.cpp                                                  2          3         -1
TheStove/Core/InputManager.hpp                                                  1          1          0
TheStove/Core/LevelEditor.cpp                                                   5          2          3
TheStove/Core/LevelEditor.hpp                                                  10          4          6
TheStove/Core/LevelEditorActions.cpp                                            1          1          0
TheStove/Core/LevelEditorActions.hpp                                            1          1          0
TheStove/Core/LevelEditorAutoSave.cpp                                           1          1          0
TheStove/Core/LevelEditorAutoSave.hpp                                           2          2          0
TheStove/Core/LevelEditorCommandSystem.cpp                                      1          1          0
TheStove/Core/LevelEditorCommandSystem.hpp                                      1          1          0
TheStove/Core/LevelEditorFileIO.cpp                                            31          6         25
TheStove/Core/LevelEditorFileIO.hpp                                             3          2          1
TheStove/Core/LevelEditorHierarchy.cpp                                          1          1          0
TheStove/Core/LevelEditorHierarchy.hpp                                          1          1          0
TheStove/Core/LevelEditorPanelAssets.cpp                                       22         24         -2
TheStove/Core/LevelEditorPanelAssets.hpp                                        2          2          0
TheStove/Core/LevelEditorPanelAudioControl.cpp                                 14         20         -6
TheStove/Core/LevelEditorPanelAudioControl.hpp                                  2          2          0
TheStove/Core/LevelEditorPanelBuildSizeAnalyzer.cpp                           297          4        293
